ticket_id,customer_id,created_at,resolved_at,channel,category,subcategory,customer_tier,first_response_time_mins,resolution_time_hours,csat_score,ticket_status,ticket_text
TKT-10293,CUS-000411,2026-07-03 00:07:51,2026-07-03 12:07:51,Email,Feature Request,New Payment Option,Free,90,12.0,5,Closed,"It would be helpful to have another payment option. The service has been useful overall, so this would be a great addition."
TKT-10294,CUS-001010,2026-07-10 15:56:12,2026-07-11 10:07:00,Email,App Bug,Login Timeout,Premium,48,18.18,3,Closed,I keep getting timed out when I try to sign in. I have already tried again several times.
TKT-10295,CUS-000436,2026-06-18 10:34:23,2026-06-19 04:15:47,In-App Chat,Billing/Refunds,Refund Pending,Free,11,17.69,2,Resolved,My refund is still pending and I need an update.
TKT-10296,CUS-001196,2026-07-02 22:20:02,2026-07-03 21:00:50,Social Media,Billing/Refunds,Duplicate Charge,Free,30,22.68,2,Closed,I was charged twice for the same transaction. Please resolve this as soon as possible.
TKT-10297,CUS-001093,2026-07-05 21:19:22,2026-07-06 10:29:34,In-App Chat,Account Access,Profile Update Failed,Free,29,13.17,3,Resolved,I cannot save the changes to my profile. I would appreciate an update when possible.
TKT-10298,CUS-000837,2026-08-03 00:46:17,2026-08-03 20:00:05,Email,Billing/Refunds,Incorrect Amount,Free,115,19.23,,Closed,The amount on my bill does not match what I expected. I have already tried again several times.
TKT-10299,CUS-000920,2026-06-16 01:28:44,2026-06-16 09:32:20,Email,App Bug,App Crash,Enterprise,9,8.06,,Resolved,The app closes every time I try to complete this action. Please resolve this as soon as possible.
TKT-10300,CUS-000398,2026-07-13 01:27:59,2026-07-14 11:24:23,WhatsApp,Billing/Refunds,Payment Failed,Free,37,33.94,,Resolved,My payment keeps failing even though my details are correct. This is disrupting what I need to do.
TKT-10301,CUS-000046,2026-06-28 17:43:25,2026-06-30 21:45:49,In-App Chat,App Bug,App Crash,Premium,9,52.04,1,Escalated,The app closes every time I try to complete this action. I have already tried again several times.
TKT-10302,CUS-001350,2026-07-13 08:21:16,2026-07-14 18:55:27,In-App Chat,App Bug,Login Timeout,Free,36,34.57,2,Resolved,I keep getting timed out when I try to sign in. This is disrupting what I need to do.
TKT-10303,CUS-001494,2026-07-27 18:30:12,,In-App Chat,Account Access,Password Reset,Enterprise,5,,3,Open,I need help resetting my password. Could someone advise me on the next step?
TKT-10304,CUS-001310,2026-07-11 07:38:06,2026-07-15 07:00:54,Email,App Bug,Page Not Loading,Free,59,95.38,,Escalated,The page is stuck loading and I cannot continue. Please resolve this as soon as possible.
TKT-10305,CUS-001186,2026-05-25 12:22:08,2026-05-28 08:42:32,In-App Chat,Billing/Refunds,Duplicate Charge,Free,31,68.34,3,Resolved,I was charged twice for the same transaction.
TKT-10306,CUS-000787,2026-06-16 01:35:29,2026-06-16 10:25:17,Social Media,Account Access,Profile Update Failed,Free,33,8.83,3,Resolved,I cannot save the changes to my profile. Could someone advise me on the next step?
TKT-10307,CUS-000973,2026-06-22 15:01:53,2026-06-25 05:36:40,In-App Chat,App Bug,Login Timeout,Free,31,62.58,2,Resolved,I keep getting timed out when I try to sign in. This has been very frustrating.
TKT-10308,CUS-001160,2026-06-16 08:32:51,,In-App Chat,Account Access,Password Reset,Enterprise,5,,3,Open,I need help resetting my password. Thank you for checking this for me.
TKT-10309,CUS-000055,2026-07-18 08:10:42,2026-07-19 09:15:30,Email,Billing/Refunds,Refund Pending,Enterprise,54,25.08,2,Closed,My refund is still pending and I need an update. This has been very frustrating.
TKT-10310,CUS-000703,2026-06-01 05:04:42,2026-06-01 21:38:53,Social Media,Billing/Refunds,Refund Pending,Free,35,16.57,2,Resolved,My refund is still pending and I need an update. Please resolve this as soon as possible.
TKT-10311,CUS-000395,2026-06-12 22:45:03,2026-06-13 16:30:03,WhatsApp,Billing/Refunds,Payment Failed,Free,31,17.75,2,Resolved,My payment keeps failing even though my details are correct. I have already tried again several times.
TKT-10312,CUS-000615,2026-08-06 12:52:33,2026-08-07 19:30:57,Social Media,App Bug,Page Not Loading,Free,29,30.64,,Resolved,The page is stuck loading and I cannot continue. This has been very frustrating.
TKT-10313,CUS-001261,2026-05-17 13:08:46,2026-05-18 08:50:46,Email,App Bug,Login Timeout,Free,39,19.7,,Closed,I keep getting timed out when I try to sign in. I have already tried again several times.
TKT-10314,CUS-000613,2026-07-03 18:31:41,2026-07-04 17:41:53,Social Media,Delivery Delay,Missing Items,Free,33,23.17,,Resolved,Some items were missing when my order arrived. This has been very frustrating.
TKT-10315,CUS-001244,2026-08-03 04:41:12,2026-08-04 09:58:00,Social Media,App Bug,App Crash,Free,65,29.28,,Resolved,The app closes every time I try to complete this action. This is disrupting what I need to do.
TKT-10316,CUS-001632,2026-08-11 04:01:10,2026-08-11 23:59:58,In-App Chat,Account Access,Verification Code Missing,Free,36,19.98,3,Escalated,The verification code has not arrived yet. I would appreciate an update when possible.
TKT-10317,CUS-001548,2026-07-28 22:02:31,2026-07-29 01:33:43,Email,Account Access,Profile Update Failed,Premium,41,3.52,,Resolved,I cannot save the changes to my profile. Please let me know what information you need.
TKT-10318,CUS-001392,2026-06-28 07:34:30,2026-06-30 02:20:42,Social Media,Billing/Refunds,Duplicate Charge,Free,36,42.77,3,Resolved,I was charged twice for the same transaction.
TKT-10319,CUS-001434,2026-07-13 03:19:22,2026-07-14 09:18:10,In-App Chat,Account Access,Account Locked,Free,17,29.98,3,Closed,My account is locked and I cannot get back in. Could someone advise me on the next step?
TKT-10320,CUS-000669,2026-05-18 17:03:02,,Email,App Bug,Login Timeout,Free,42,,1,Open,I keep getting timed out when I try to sign in. Please resolve this as soon as possible.
TKT-10321,CUS-001226,2026-06-03 08:49:43,2026-06-07 18:07:06,Email,App Bug,Login Timeout,Free,53,105.29,,Resolved,I keep getting timed out when I try to sign in. This is disrupting what I need to do.
TKT-10322,CUS-001125,2026-06-29 09:02:29,,Email,Billing/Refunds,Incorrect Amount,Free,33,,,Open,The amount on my bill does not match what I expected. This is disrupting what I need to do.
TKT-10323,CUS-001643,2026-07-14 23:33:16,2026-07-15 13:41:40,In-App Chat,Delivery Delay,Late Delivery,Premium,25,14.14,4,Resolved,My order is later than the delivery estimate. This has been very frustrating.
TKT-10324,CUS-000958,2026-08-05 04:24:16,2026-08-07 04:20:04,Email,Feature Request,Export Data,Free,232,47.93,,Escalated,Could you add a way to export my account data? Thanks for considering the suggestion.
TKT-10325,CUS-000715,2026-06-24 05:59:45,2026-06-25 02:21:57,WhatsApp,Billing/Refunds,Refund Pending,Premium,5,20.37,2,Resolved,My refund is still pending and I need an update. I have already tried again several times.
TKT-10326,CUS-001413,2026-07-01 17:30:43,2026-07-01 20:51:43,In-App Chat,Account Access,Profile Update Failed,Premium,13,3.35,4,Closed,I cannot save the changes to my profile. Please let me know what information you need.
TKT-10327,CUS-001263,2026-06-29 16:27:48,2026-06-30 15:30:48,In-App Chat,Delivery Delay,Missing Items,Enterprise,5,23.05,3,Resolved,Some items were missing when my order arrived. This has been very frustrating.
TKT-10328,CUS-000229,2026-06-03 05:33:52,,In-App Chat,App Bug,Page Not Loading,Premium,12,,,Open,The page is stuck loading and I cannot continue. Please resolve this as soon as possible.
TKT-10329,CUS-000993,2026-07-27 04:45:35,,In-App Chat,Delivery Delay,Missing Items,Free,16,,,Open,Some items were missing when my order arrived. This is disrupting what I need to do.
TKT-10330,CUS-000986,2026-07-21 22:15:50,2026-07-22 05:06:14,WhatsApp,Account Access,Password Reset,Free,63,6.84,3,Resolved,I need help resetting my password. I would appreciate an update when possible.
TKT-10331,CUS-001062,2026-08-10 15:23:08,2026-08-11 03:33:56,Email,Feature Request,Notification Controls,Free,96,12.18,5,Resolved,Please add more control over which notifications I receive. I would be happy to use this feature.
TKT-10332,CUS-001588,2026-06-20 09:00:05,2026-06-20 20:28:53,In-App Chat,Feature Request,Dark Mode,Enterprise,7,11.48,5,Closed,"I like the app and would find a dark mode option useful. The service has been useful overall, so this would be a great addition."
TKT-10333,CUS-001004,2026-07-02 20:56:53,2026-07-03 16:32:17,In-App Chat,Billing/Refunds,Incorrect Amount,Enterprise,2,19.59,3,Resolved,The amount on my bill does not match what I expected. This has been very frustrating.
TKT-10334,CUS-001460,2026-06-05 00:01:33,2026-06-08 22:11:09,WhatsApp,App Bug,Login Timeout,Free,14,94.16,3,Closed,I keep getting timed out when I try to sign in. Please resolve this as soon as possible.
TKT-10335,CUS-000609,2026-05-28 18:58:56,2026-05-29 00:16:56,In-App Chat,Account Access,Account Locked,Free,30,5.3,,Closed,My account is locked and I cannot get back in. Thank you for checking this for me.
TKT-10336,CUS-000106,2026-07-13 03:12:26,2026-07-14 05:16:38,Social Media,Billing/Refunds,Incorrect Amount,Free,24,26.07,2,Resolved,The amount on my bill does not match what I expected. This has been very frustrating.
TKT-10337,CUS-000633,2026-06-11 22:27:10,2026-06-12 19:24:46,In-App Chat,App Bug,Page Not Loading,Free,44,20.96,,Resolved,The page is stuck loading and I cannot continue. This has been very frustrating.
TKT-10338,CUS-000881,2026-07-23 02:59:04,,In-App Chat,Feature Request,New Payment Option,Enterprise,1,,4,Open,It would be helpful to have another payment option. I would be happy to use this feature.
TKT-10339,CUS-001406,2026-06-16 23:02:19,2026-06-17 19:35:55,Social Media,Billing/Refunds,Duplicate Charge,Free,32,20.56,,Resolved,I was charged twice for the same transaction. Please resolve this as soon as possible.
TKT-10340,CUS-001062,2026-08-08 07:40:18,2026-08-09 18:32:30,In-App Chat,App Bug,Login Timeout,Free,16,34.87,3,Closed,I keep getting timed out when I try to sign in.
TKT-10341,CUS-000743,2026-05-21 15:21:08,2026-05-23 06:10:56,Social Media,Delivery Delay,Late Delivery,Free,35,38.83,5,Resolved,My order is later than the delivery estimate.
TKT-10342,CUS-000769,2026-05-16 12:55:54,2026-05-19 16:10:54,In-App Chat,App Bug,Login Timeout,Free,27,75.25,2,Resolved,I keep getting timed out when I try to sign in. Please resolve this as soon as possible.
TKT-10343,CUS-001648,2026-07-08 21:23:33,2026-07-12 07:22:57,Social Media,App Bug,Notification Error,Free,55,81.99,2,Resolved,The notifications are delayed or showing the wrong information. I have already tried again several times.
TKT-10344,CUS-000251,2026-07-05 07:44:49,2026-07-05 12:06:25,Social Media,Feature Request,New Payment Option,Premium,29,4.36,5,Resolved,It would be helpful to have another payment option. Everything else is working well for me.
TKT-10345,CUS-000368,2026-08-01 09:03:45,2026-08-03 17:22:57,Social Media,App Bug,Page Not Loading,Free,69,56.32,4,Closed,The page is stuck loading and I cannot continue. I have already tried again several times.
TKT-10346,CUS-001048,2026-06-17 16:17:29,2026-06-19 01:35:29,In-App Chat,Billing/Refunds,Payment Failed,Free,21,33.3,3,Resolved,My payment keeps failing even though my details are correct. This is disrupting what I need to do.
TKT-10347,CUS-001175,2026-06-20 12:40:07,2026-06-21 22:22:07,Social Media,Billing/Refunds,Refund Pending,Free,160,33.7,3,Closed,My refund is still pending and I need an update. I have already tried again several times.
TKT-10348,CUS-000671,2026-07-09 10:44:01,2026-07-10 04:11:37,WhatsApp,Feature Request,New Payment Option,Free,79,17.46,4,Closed,It would be helpful to have another payment option.
TKT-10349,CUS-000064,2026-06-06 07:29:19,2026-06-08 19:30:31,In-App Chat,Billing/Refunds,Incorrect Amount,Free,19,60.02,2,Resolved,The amount on my bill does not match what I expected. I have already tried again several times.
TKT-10350,CUS-000860,2026-05-25 11:02:52,2026-05-28 02:47:16,In-App Chat,App Bug,Page Not Loading,Free,21,63.74,,Resolved,The page is stuck loading and I cannot continue. This is disrupting what I need to do.
TKT-10351,CUS-000258,2026-06-29 22:35:01,2026-07-02 08:59:37,WhatsApp,Billing/Refunds,Payment Failed,Free,27,58.41,1,Closed,My payment keeps failing even though my details are correct. I have already tried again several times.
TKT-10352,CUS-000104,2026-07-05 10:57:02,2026-07-07 10:56:26,In-App Chat,App Bug,App Crash,Free,29,47.99,,Closed,The app closes every time I try to complete this action.
TKT-10353,CUS-000591,2026-05-22 15:38:01,2026-05-24 19:08:01,Email,Feature Request,New Payment Option,Premium,19,51.5,4,Closed,It would be helpful to have another payment option. Thanks for considering the suggestion.
TKT-10354,CUS-000243,2026-08-05 14:06:45,2026-08-06 12:49:57,Social Media,App Bug,Login Timeout,Premium,12,22.72,3,Resolved,I keep getting timed out when I try to sign in.
TKT-10355,CUS-000736,2026-06-18 15:06:07,2026-06-19 00:42:07,In-App Chat,Feature Request,New Payment Option,Enterprise,1,9.6,3,Escalated,"It would be helpful to have another payment option. The service has been useful overall, so this would be a great addition."
TKT-10356,CUS-001285,2026-06-10 15:31:58,2026-06-11 15:56:34,Email,Billing/Refunds,Payment Failed,Free,58,24.41,,Resolved,My payment keeps failing even though my details are correct. Please resolve this as soon as possible.
TKT-10357,CUS-000087,2026-06-10 18:19:51,2026-06-12 06:28:51,Email,App Bug,App Crash,Premium,66,36.15,2,Closed,The app closes every time I try to complete this action. Please resolve this as soon as possible.
TKT-10358,CUS-000829,2026-07-07 16:04:18,2026-07-09 05:01:18,In-App Chat,Delivery Delay,Wrong Delivery Address,Premium,10,36.95,,Resolved,The delivery address shown for my order is incorrect. This has been very frustrating.
TKT-10359,CUS-000829,2026-06-21 06:54:14,2026-06-22 14:32:38,WhatsApp,App Bug,Page Not Loading,Free,32,31.64,2,Closed,The page is stuck loading and I cannot continue. Please resolve this as soon as possible.
TKT-10360,CUS-000002,2026-07-23 18:36:24,2026-07-25 17:00:24,In-App Chat,App Bug,Page Not Loading,Free,27,46.4,,Resolved,The page is stuck loading and I cannot continue. This has been very frustrating.
TKT-10361,CUS-001242,2026-06-16 05:47:06,2026-06-16 16:43:30,In-App Chat,Delivery Delay,Wrong Delivery Address,Free,12,10.94,4,Closed,The delivery address shown for my order is incorrect. Please resolve this as soon as possible.
TKT-10362,CUS-000162,2026-06-28 13:28:30,2026-06-30 19:09:18,WhatsApp,App Bug,App Crash,Premium,16,53.68,,Resolved,The app closes every time I try to complete this action. This is disrupting what I need to do.
TKT-10363,CUS-001567,2026-07-01 09:20:51,2026-07-01 20:59:51,In-App Chat,Account Access,Profile Update Failed,Free,40,11.65,4,Closed,I cannot save the changes to my profile. Thank you for checking this for me.
TKT-10364,CUS-001077,2026-07-10 21:10:27,2026-07-11 08:53:03,WhatsApp,Feature Request,Export Data,Free,41,11.71,,Resolved,Could you add a way to export my account data? Everything else is working well for me.
TKT-10365,CUS-000497,2026-06-27 19:01:30,2026-07-01 04:08:42,In-App Chat,Billing/Refunds,Refund Pending,Enterprise,7,81.12,1,Closed,My refund is still pending and I need an update. This is disrupting what I need to do.
TKT-10366,CUS-001553,2026-05-19 02:21:45,2026-05-21 19:16:21,Email,App Bug,App Crash,Free,163,64.91,,Resolved,The app closes every time I try to complete this action. This has been very frustrating.
TKT-10367,CUS-000680,2026-05-22 04:03:22,2026-05-22 14:37:33,In-App Chat,Billing/Refunds,Incorrect Amount,Enterprise,6,10.57,2,Resolved,The amount on my bill does not match what I expected. I have already tried again several times.
TKT-10368,CUS-000445,2026-05-20 22:19:40,2026-05-22 07:08:16,Social Media,App Bug,App Crash,Premium,13,32.81,,Closed,The app closes every time I try to complete this action.
TKT-10369,CUS-000648,2026-07-07 02:19:03,2026-07-11 20:39:27,WhatsApp,Billing/Refunds,Duplicate Charge,Premium,12,114.34,2,Resolved,I was charged twice for the same transaction. Please resolve this as soon as possible.
TKT-10370,CUS-001024,2026-07-01 03:54:08,2026-07-02 03:40:20,WhatsApp,Account Access,Verification Code Missing,Premium,51,23.77,,Resolved,The verification code has not arrived yet. Thank you for checking this for me.
TKT-10371,CUS-001216,2026-07-31 20:42:38,2026-08-06 04:12:38,WhatsApp,Billing/Refunds,Incorrect Amount,Free,41,127.5,1,Escalated,The amount on my bill does not match what I expected. I have already tried again several times.
TKT-10372,CUS-001121,2026-08-01 18:12:37,2026-08-02 00:59:25,Social Media,Account Access,Password Reset,Premium,22,6.78,3,Escalated,I need help resetting my password. Thank you for checking this for me.
TKT-10373,CUS-001544,2026-07-06 19:44:14,2026-07-12 08:31:02,Social Media,Billing/Refunds,Refund Pending,Premium,12,132.78,2,Escalated,My refund is still pending and I need an update.
TKT-10374,CUS-001610,2026-06-09 03:31:22,2026-06-09 23:21:10,Email,App Bug,Page Not Loading,Premium,32,19.83,,Resolved,The page is stuck loading and I cannot continue. I have already tried again several times.
TKT-10375,CUS-000353,2026-07-24 03:30:40,2026-07-27 06:42:40,WhatsApp,App Bug,App Crash,Free,52,75.2,,Resolved,The app closes every time I try to complete this action. This has been very frustrating.
TKT-10376,CUS-001527,2026-07-14 06:42:50,2026-07-14 23:39:14,Email,Delivery Delay,Tracking Not Updated,Free,75,16.94,3,Closed,The tracking status has not changed for a while.
TKT-10377,CUS-000193,2026-06-23 17:59:45,2026-06-25 16:20:09,WhatsApp,App Bug,Page Not Loading,Free,24,46.34,3,Resolved,The page is stuck loading and I cannot continue. This has been very frustrating.
TKT-10378,CUS-001611,2026-07-11 01:53:48,2026-07-12 07:15:24,In-App Chat,App Bug,Notification Error,Free,19,29.36,2,Closed,The notifications are delayed or showing the wrong information. Please resolve this as soon as possible.
TKT-10379,CUS-000445,2026-07-27 03:39:45,2026-07-27 20:46:21,Email,Delivery Delay,Tracking Not Updated,Free,156,17.11,3,Resolved,The tracking status has not changed for a while. I have already tried again several times.
TKT-10380,CUS-000454,2026-06-07 03:06:52,,Social Media,Account Access,Profile Update Failed,Premium,30,,,Open,I cannot save the changes to my profile. Please let me know what information you need.
TKT-10381,CUS-000703,2026-07-05 15:21:41,2026-07-06 04:37:53,In-App Chat,Billing/Refunds,Refund Pending,Premium,15,13.27,4,Closed,My refund is still pending and I need an update. Please resolve this as soon as possible.
TKT-10382,CUS-000335,2026-06-29 07:10:27,2026-07-01 03:58:27,In-App Chat,Feature Request,Export Data,Premium,14,44.8,4,Resolved,Could you add a way to export my account data? Everything else is working well for me.
TKT-10383,CUS-001392,2026-06-08 07:47:28,2026-06-09 03:01:16,WhatsApp,App Bug,Login Timeout,Free,16,19.23,3,Resolved,I keep getting timed out when I try to sign in. Please resolve this as soon as possible.
TKT-10384,CUS-000228,2026-07-21 20:21:35,2026-07-22 11:32:59,Email,Billing/Refunds,Incorrect Amount,Free,88,15.19,3,Resolved,The amount on my bill does not match what I expected. This has been very frustrating.
TKT-10385,CUS-000737,2026-07-02 10:00:51,2026-07-04 12:09:51,In-App Chat,App Bug,Notification Error,Free,45,50.15,,Resolved,The notifications are delayed or showing the wrong information.
TKT-10386,CUS-001522,2026-07-03 10:49:23,2026-07-06 12:16:23,In-App Chat,Billing/Refunds,Duplicate Charge,Free,20,73.45,2,Closed,I was charged twice for the same transaction. Please resolve this as soon as possible.
TKT-10387,CUS-001067,2026-05-30 09:58:07,2026-05-31 09:34:07,Email,Billing/Refunds,Refund Pending,Free,136,23.6,3,Resolved,My refund is still pending and I need an update. I have already tried again several times.
TKT-10388,CUS-001013,2026-08-01 15:50:39,2026-08-02 03:11:39,Email,Delivery Delay,Wrong Delivery Address,Free,104,11.35,,Resolved,The delivery address shown for my order is incorrect. This is disrupting what I need to do.
TKT-10389,CUS-001646,2026-06-13 07:56:19,2026-06-14 00:36:31,WhatsApp,Billing/Refunds,Payment Failed,Free,56,16.67,2,Resolved,My payment keeps failing even though my details are correct. This has been very frustrating.
TKT-10390,CUS-000047,2026-07-20 02:44:29,2026-07-20 16:54:41,WhatsApp,Delivery Delay,Tracking Not Updated,Free,35,14.17,3,Closed,The tracking status has not changed for a while. I have already tried again several times.
TKT-10391,CUS-000554,2026-05-21 09:29:20,2026-05-22 01:57:32,Email,Feature Request,New Payment Option,Free,129,16.47,4,Resolved,It would be helpful to have another payment option. Everything else is working well for me.
TKT-10392,CUS-000229,2026-07-25 03:04:00,2026-07-25 11:53:12,Social Media,Account Access,Account Locked,Free,17,8.82,4,Resolved,My account is locked and I cannot get back in. Could someone advise me on the next step?
TKT-10393,CUS-000339,2026-06-25 05:28:53,,In-App Chat,Delivery Delay,Wrong Delivery Address,Free,24,,3,Open,The delivery address shown for my order is incorrect. This has been very frustrating.
TKT-10394,CUS-000380,2026-08-06 16:27:48,2026-08-07 13:54:12,WhatsApp,Delivery Delay,Tracking Not Updated,Premium,24,21.44,4,Resolved,The tracking status has not changed for a while.
TKT-10395,CUS-001051,2026-05-24 06:20:15,2026-05-25 04:33:27,In-App Chat,Feature Request,Notification Controls,Free,28,22.22,5,Resolved,Please add more control over which notifications I receive. I would be happy to use this feature.
TKT-10396,CUS-000463,2026-08-04 07:52:46,,In-App Chat,App Bug,Notification Error,Free,45,,2,Open,The notifications are delayed or showing the wrong information. This is disrupting what I need to do.
TKT-10397,CUS-001124,2026-05-27 01:21:01,2026-05-27 19:54:01,WhatsApp,Billing/Refunds,Incorrect Amount,Free,30,18.55,,Resolved,The amount on my bill does not match what I expected. Please resolve this as soon as possible.
TKT-10398,CUS-001242,2026-07-21 15:52:53,,WhatsApp,Account Access,Account Locked,Enterprise,4,,,Open,My account is locked and I cannot get back in. Please let me know what information you need.
TKT-10399,CUS-000684,2026-06-24 20:04:12,2026-06-25 06:55:12,In-App Chat,Account Access,Profile Update Failed,Free,8,10.85,,Closed,I cannot save the changes to my profile. Thank you for checking this for me.
TKT-10400,CUS-000881,2026-07-21 07:43:25,2026-07-22 16:45:13,Social Media,Billing/Refunds,Duplicate Charge,Premium,17,33.03,3,Closed,I was charged twice for the same transaction.
TKT-10401,CUS-000236,2026-08-05 08:49:35,2026-08-05 14:54:23,Email,Account Access,Password Reset,Free,103,6.08,5,Resolved,I need help resetting my password. Please let me know what information you need.
TKT-10402,CUS-001271,2026-07-24 09:16:02,2026-07-25 19:12:26,In-App Chat,Billing/Refunds,Refund Pending,Premium,17,33.94,,Resolved,My refund is still pending and I need an update. Please resolve this as soon as possible.
TKT-10403,CUS-000703,2026-07-06 06:14:38,2026-07-06 11:57:14,In-App Chat,Feature Request,New Payment Option,Premium,4,5.71,5,Resolved,"It would be helpful to have another payment option. The service has been useful overall, so this would be a great addition."
TKT-10404,CUS-001409,2026-08-06 11:44:15,2026-08-07 09:47:15,In-App Chat,Billing/Refunds,Payment Failed,Free,48,22.05,4,Resolved,My payment keeps failing even though my details are correct.
TKT-10405,CUS-000870,2026-06-04 23:16:33,2026-06-06 20:17:45,Email,Billing/Refunds,Duplicate Charge,Premium,19,45.02,2,Resolved,I was charged twice for the same transaction. This has been very frustrating.
TKT-10406,CUS-001164,2026-05-26 02:55:06,2026-05-26 20:55:42,Email,Billing/Refunds,Refund Pending,Free,69,18.01,2,Closed,My refund is still pending and I need an update. This has been very frustrating.
TKT-10407,CUS-000609,2026-05-27 17:20:36,2026-05-29 21:47:00,Email,Billing/Refunds,Duplicate Charge,Premium,24,52.44,2,Closed,I was charged twice for the same transaction.
TKT-10408,CUS-000626,2026-08-08 18:05:42,2026-08-09 09:30:18,In-App Chat,App Bug,Login Timeout,Free,30,15.41,3,Resolved,I keep getting timed out when I try to sign in.
TKT-10409,CUS-000732,2026-07-06 04:27:45,2026-07-06 18:18:09,WhatsApp,Billing/Refunds,Duplicate Charge,Free,36,13.84,2,Closed,I was charged twice for the same transaction. Please resolve this as soon as possible.
TKT-10410,CUS-001068,2026-07-03 04:51:39,,Email,App Bug,App Crash,Enterprise,19,,1,Open,The app closes every time I try to complete this action. Please resolve this as soon as possible.
TKT-10411,CUS-000833,2026-06-25 11:52:12,2026-06-26 18:23:24,WhatsApp,Billing/Refunds,Payment Failed,Premium,48,30.52,2,Closed,My payment keeps failing even though my details are correct. Please resolve this as soon as possible.
TKT-10412,CUS-001358,2026-06-26 07:27:07,2026-06-29 00:25:55,In-App Chat,App Bug,Login Timeout,Free,29,64.98,2,Closed,I keep getting timed out when I try to sign in.
TKT-10413,CUS-000102,2026-08-04 22:03:46,2026-08-07 11:10:58,Email,App Bug,Notification Error,Enterprise,9,61.12,,Closed,The notifications are delayed or showing the wrong information. This is disrupting what I need to do.
TKT-10414,CUS-001514,2026-07-10 17:14:59,2026-07-13 15:46:11,WhatsApp,App Bug,App Crash,Free,45,70.52,1,Resolved,The app closes every time I try to complete this action. I have already tried again several times.
TKT-10415,CUS-001553,2026-07-30 18:10:15,2026-08-02 03:43:51,In-App Chat,App Bug,Notification Error,Free,77,57.56,2,Resolved,The notifications are delayed or showing the wrong information. This has been very frustrating.
TKT-10416,CUS-000420,2026-06-20 13:52:47,,In-App Chat,Billing/Refunds,Incorrect Amount,Premium,16,,,Open,The amount on my bill does not match what I expected. I have already tried again several times.
TKT-10417,CUS-000183,2026-07-29 15:25:39,2026-07-30 12:44:51,In-App Chat,Billing/Refunds,Duplicate Charge,Free,41,21.32,3,Closed,I was charged twice for the same transaction. This has been very frustrating.
TKT-10418,CUS-000953,2026-07-08 22:20:38,2026-07-11 05:10:26,In-App Chat,Billing/Refunds,Incorrect Amount,Free,9,54.83,,Closed,The amount on my bill does not match what I expected. This has been very frustrating.
TKT-10419,CUS-000120,2026-08-05 07:28:26,,Email,Delivery Delay,Wrong Delivery Address,Premium,43,,2,Open,The delivery address shown for my order is incorrect. This has been very frustrating.
TKT-10420,CUS-000405,2026-08-05 09:39:30,2026-08-05 17:14:17,In-App Chat,Feature Request,Notification Controls,Free,20,7.58,5,Resolved,Please add more control over which notifications I receive.
TKT-10421,CUS-000834,2026-05-29 14:53:47,2026-05-30 20:04:35,In-App Chat,Feature Request,Export Data,Free,15,29.18,4,Resolved,Could you add a way to export my account data? Thanks for considering the suggestion.
TKT-10422,CUS-001029,2026-07-20 02:41:27,2026-07-20 16:39:39,Email,App Bug,Login Timeout,Free,73,13.97,2,Closed,I keep getting timed out when I try to sign in. This is disrupting what I need to do.
TKT-10423,CUS-000348,2026-06-21 15:20:29,2026-06-22 00:48:05,In-App Chat,Account Access,Password Reset,Premium,11,9.46,4,Resolved,I need help resetting my password. Could someone advise me on the next step?
TKT-10424,CUS-001569,2026-07-06 21:10:21,2026-07-08 13:14:33,In-App Chat,App Bug,App Crash,Free,16,40.07,2,Closed,The app closes every time I try to complete this action. This has been very frustrating.
TKT-10425,CUS-000335,2026-06-16 03:38:48,2026-06-18 04:50:48,Social Media,Delivery Delay,Wrong Delivery Address,Free,49,49.2,,Escalated,The delivery address shown for my order is incorrect. I have already tried again several times.
TKT-10426,CUS-000280,2026-07-11 20:49:56,2026-07-12 18:22:56,In-App Chat,Delivery Delay,Missing Items,Premium,9,21.55,2,Closed,Some items were missing when my order arrived. This has been very frustrating.
TKT-10427,CUS-000296,2026-07-08 22:17:18,2026-07-09 11:09:30,In-App Chat,Delivery Delay,Missing Items,Free,36,12.87,,Resolved,Some items were missing when my order arrived. This has been very frustrating.
TKT-10428,CUS-001560,2026-05-31 12:36:38,2026-06-01 10:22:14,In-App Chat,Feature Request,Notification Controls,Free,27,21.76,4,Closed,Please add more control over which notifications I receive. I would be happy to use this feature.
TKT-10429,CUS-001476,2026-06-04 10:06:07,2026-06-05 15:47:31,In-App Chat,App Bug,App Crash,Premium,13,29.69,,Resolved,The app closes every time I try to complete this action.
TKT-10430,CUS-000064,2026-06-23 17:15:02,,Email,Delivery Delay,Missing Items,Premium,63,,,Open,Some items were missing when my order arrived.
TKT-10431,CUS-001221,2026-07-20 03:51:38,2026-07-22 08:59:26,In-App Chat,Delivery Delay,Late Delivery,Free,33,53.13,3,Resolved,My order is later than the delivery estimate. This has been very frustrating.
TKT-10432,CUS-000137,2026-06-24 17:21:14,2026-06-28 02:15:50,In-App Chat,App Bug,Notification Error,Premium,11,80.91,3,Escalated,The notifications are delayed or showing the wrong information. Please resolve this as soon as possible.
TKT-10433,CUS-000137,2026-08-01 00:52:23,2026-08-01 07:54:47,WhatsApp,Feature Request,Export Data,Premium,4,7.04,5,Resolved,Could you add a way to export my account data?
